City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chara,RU,2021-11-20 17:54:13,56.9064,118.2631,1.6,98,100,0.02
1,Svetlaya,RU,2021-11-20 17:54:14,46.5389,138.3297,31.98,62,99,5.01
2,Cacapava Do Sul,BR,2021-11-20 17:54:14,-30.5122,-53.4914,81.27,27,0,3.62
3,Makakilo City,US,2021-11-20 17:53:07,21.3469,-158.0858,78.62,80,20,0.0
4,Maputo,MZ,2021-11-20 17:54:14,-25.9653,32.5892,68.23,90,90,1.01
5,Andra,RU,2021-11-20 17:54:15,62.5147,65.8878,23.0,96,100,7.29
6,Rikitea,PF,2021-11-20 17:54:15,-23.1203,-134.9692,73.02,65,100,8.37
7,Shilka,RU,2021-11-20 17:54:15,51.85,116.0333,3.81,100,96,2.04
8,Labuan,MY,2021-11-20 17:54:16,5.2767,115.2417,79.16,94,20,0.0
9,Katangli,RU,2021-11-20 17:54:16,51.7102,143.2326,22.5,79,100,17.49
10,Daru,PG,2021-11-20 17:54:16,-9.0763,143.2092,79.2,88,57,13.91
11,Kapaa,US,2021-11-20 17:50:49,22.0752,-159.319,74.19,83,75,4.61
12,Coihaique,CL,2021-11-20 17:54:17,-45.5752,-72.0662,66.81,55,75,5.75
13,Waipawa,NZ,2021-11-20 17:54:17,-41.4122,175.5153,56.44,78,63,7.23
14,Port-Cartier,CA,2021-11-20 17:54:18,50.0334,-66.8654,34.02,47,35,10.45
15,Ushuaia,AR,2021-11-20 17:46:18,-54.8,-68.3,38.86,65,75,21.85
16,Mar Del Plata,AR,2021-11-20 17:51:51,-38.0023,-57.5575,84.22,69,0,11.01
17,Beringovskiy,RU,2021-11-20 17:54:18,63.05,179.3167,-1.44,96,33,8.43
18,Dongsheng,CN,2021-11-20 17:54:18,39.8161,109.9776,22.53,36,16,26.15
19,Pampa,US,2021-11-20 17:54:19,35.5362,-100.9599,64.06,22,1,11.5
20,Lakatoro,VU,2021-11-20 17:54:19,-16.0999,167.4164,77.88,80,100,4.9
21,Bonfim,BR,2021-11-20 17:54:19,3.0833,-59.95,88.92,51,80,2.84
22,Tuy Hoa,VN,2021-11-20 17:54:20,13.0833,109.3,74.61,88,63,2.98
23,Saldanha,ZA,2021-11-20 17:54:20,-33.0117,17.9442,64.08,81,100,15.82
24,Torbay,CA,2021-11-20 17:54:20,47.6666,-52.7314,43.57,83,75,14.97
25,Cape Town,ZA,2021-11-20 17:45:45,-33.9258,18.4232,71.28,53,20,19.57
26,Xining,CN,2021-11-20 17:52:17,36.6167,101.7667,22.14,58,2,4.14
27,Hermanus,ZA,2021-11-20 17:50:42,-34.4187,19.2345,68.9,72,60,19.28
28,Tiksi,RU,2021-11-20 17:54:21,71.6872,128.8694,-12.41,96,99,6.55
29,Sorland,NO,2021-11-20 17:54:21,67.667,12.6934,37.9,65,99,31.18
30,Saint Anthony,US,2021-11-20 17:54:22,45.0205,-93.218,44.78,56,75,3.0
31,Punta Arenas,CL,2021-11-20 17:52:23,-53.15,-70.9167,46.51,53,40,40.29
32,Gunjur,GM,2021-11-20 17:54:22,13.2019,-16.7339,93.27,43,0,3.44
33,Mataura,NZ,2021-11-20 17:50:47,-46.1927,168.8643,50.27,99,100,2.57
34,Lompoc,US,2021-11-20 17:54:23,34.6391,-120.4579,76.14,84,20,0.0
35,Mahebourg,MU,2021-11-20 17:54:23,-20.4081,57.7,77.25,73,40,9.22
36,Vaini,TO,2021-11-20 17:50:49,-21.2,-175.2,71.76,100,75,2.3
37,Hilo,US,2021-11-20 17:50:20,19.7297,-155.09,74.62,82,90,6.91
38,Assiniboia,CA,2021-11-20 17:54:23,49.6334,-105.9845,31.91,80,42,18.41
39,Hobart,AU,2021-11-20 17:50:46,-42.8794,147.3294,49.86,90,75,1.01
40,Bredasdorp,ZA,2021-11-20 17:54:24,-34.5322,20.0403,63.28,69,98,17.38
41,Vostok,RU,2021-11-20 17:54:24,46.4856,135.8833,12.33,98,99,2.59
42,Hithadhoo,MV,2021-11-20 17:54:24,-0.6,73.0833,81.05,81,100,16.84
43,Albany,US,2021-11-20 17:53:08,42.6001,-73.9662,44.58,57,51,1.99
44,Jamestown,US,2021-11-20 17:52:08,42.097,-79.2353,41.72,54,100,7.0
45,Hofn,IS,2021-11-20 17:54:25,64.2539,-15.2082,32.34,54,1,15.35
46,Kemijarvi,FI,2021-11-20 17:54:26,66.7131,27.4306,28.26,86,98,10.63
47,Havelock,US,2021-11-20 17:50:38,34.8791,-76.9013,60.06,65,16,8.99
48,Hobyo,SO,2021-11-20 17:55:26,5.3505,48.5268,80.2,67,78,13.51
49,Pevek,RU,2021-11-20 17:55:26,69.7008,170.3133,-10.66,97,70,2.44
50,Miranda,CO,2021-11-20 17:55:27,3.2499,-76.2281,78.93,70,91,2.51
51,Bethel,US,2021-11-20 17:50:13,41.3712,-73.414,46.69,48,1,3.44
52,Nampula,MZ,2021-11-20 17:50:45,-15.1165,39.2666,84.15,39,0,13.8
53,Weihe,CN,2021-11-20 17:55:27,32.9952,105.3247,37.92,49,83,7.25
54,Dharchula,IN,2021-11-20 17:55:28,29.85,80.5333,54.64,34,0,7.65
55,Mineros,BO,2021-11-20 17:55:28,-17.1167,-63.2333,89.19,47,36,6.38
56,New Norfolk,AU,2021-11-20 17:50:40,-42.7826,147.0587,49.5,82,56,2.91
57,Kirakira,SB,2021-11-20 17:55:29,-10.4544,161.9205,77.49,83,83,2.84
58,Coquimbo,CL,2021-11-20 17:55:29,-29.9533,-71.3436,60.53,77,40,11.5
59,Klaksvik,FO,2021-11-20 17:50:41,62.2266,-6.589,36.52,79,100,29.01
60,Airai,TL,2021-11-20 17:50:39,-8.9266,125.4092,62.29,90,98,1.12
61,Busselton,AU,2021-11-20 17:50:46,-33.65,115.3333,59.09,69,52,11.39
62,Henties Bay,NA,2021-11-20 17:55:30,-22.116,14.2845,60.85,90,32,8.68
63,Avarua,CK,2021-11-20 17:50:39,-21.2078,-159.775,77.05,69,30,4.61
64,Kodiak,US,2021-11-20 17:50:43,57.79,-152.4072,35.11,69,90,29.93
65,Dingzhou,CN,2021-11-20 17:55:30,38.5131,114.9956,39.31,86,80,0.67
66,Bambous Virieux,MU,2021-11-20 17:55:30,-20.3428,57.7575,77.22,73,40,9.22
67,Ponta Do Sol,PT,2021-11-20 17:55:31,32.6667,-17.1,69.01,59,81,2.55
68,East London,ZA,2021-11-20 17:55:31,-33.0153,27.9116,63.54,88,75,8.05
69,Victoria,HK,2021-11-20 17:51:15,22.2855,114.1577,74.32,87,88,1.01
70,Labuhan,ID,2021-11-20 17:55:32,-6.8844,112.2051,78.33,85,100,1.81
71,Aksarka,RU,2021-11-20 17:55:32,66.5606,67.7975,10.58,95,100,9.78
72,Lavrentiya,RU,2021-11-20 17:55:32,65.5833,-171.0,0.05,77,84,6.02
73,Bluff,NZ,2021-11-20 17:55:33,-46.6,168.3333,52.27,94,100,6.22
74,Diamantino,BR,2021-11-20 17:55:33,-14.4086,-56.4461,79.36,77,100,3.65
75,Yellowknife,CA,2021-11-20 17:55:34,62.456,-114.3525,0.28,90,20,10.36
76,Sitka,US,2021-11-20 17:55:11,57.0531,-135.33,31.32,81,100,9.19
77,Caxito,AO,2021-11-20 17:55:34,-8.5785,13.6643,81.25,80,51,7.16
78,Lorengau,PG,2021-11-20 17:55:34,-2.0226,147.2712,80.64,71,42,0.72
79,Sao Joao Da Barra,BR,2021-11-20 17:55:35,-21.6403,-41.0511,75.29,88,100,14.79
80,Saint-Philippe,RE,2021-11-20 17:55:35,-21.3585,55.7679,76.59,80,46,8.95
81,Malumfashi,NG,2021-11-20 17:55:35,11.7853,7.6218,79.36,18,4,6.76
