City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Nioro,GM,75.52,overcast clouds,13.35,-15.75,
1,Kapaa,US,82.38,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
4,Rikitea,PF,75.81,clear sky,-23.1203,-134.9692,People ThankYou
5,Labuhan,ID,83.17,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
10,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
13,Hilo,US,84.27,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
14,Butaritari,KI,81.95,light rain,3.0707,172.7902,Isles Sunset Lodge
25,Katobu,ID,89.13,clear sky,-4.9408,122.5276,La Ode Husein
27,Kon Tum,VN,75.24,broken clouds,14.35,108.0,Hoa đà spa- homestay
30,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
36,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
37,Hobyo,SO,78.57,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
39,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
47,Acajutla,SV,79.38,overcast clouds,13.5928,-89.8275,asi es
53,Mahibadhoo,MV,81.59,overcast clouds,3.7833,72.9667,Omadhoo Inn
60,Maragogi,BR,78.06,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
62,Manggar,ID,84.33,overcast clouds,-2.8833,108.2667,Guest Hotel
69,Dicabisagan,PH,81.01,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
70,Yulara,AU,76.84,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
71,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
74,Kloulklubed,PW,88.3,broken clouds,7.0419,134.2556,Storyboard Beach Resort
75,Atuona,PF,77.29,light rain,-9.8,-139.0333,Villa Enata
78,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
79,Cabo San Lucas,MX,76.3,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
82,Atar,MR,77.79,overcast clouds,20.5169,-13.0499,Oumou Elghoura
85,Marang,MY,78.71,overcast clouds,5.2056,103.2059,DBarakah Homestay
88,Atambua,ID,85.53,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
103,Makakilo City,US,80.92,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
104,Cape Coast,GH,80.26,few clouds,5.1053,-1.2466,Samrit Hotel
108,Faanui,PF,81.28,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
112,Harper,LR,78.53,clear sky,4.375,-7.7169,Screensaver
115,Mogadishu,SO,79.07,broken clouds,2.0371,45.3438,Hotel Juba
132,Pringsewu,ID,82.04,overcast clouds,-5.3582,104.9744,Urban Style by Front One
139,Thinadhoo,MV,82.04,moderate rain,0.5333,72.9333,
141,Bubaque,GW,82.24,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
143,Jitra,MY,82.29,few clouds,6.2681,100.4217,Hotel Darulaman
148,Sola,VU,82.72,few clouds,-13.8833,167.55,Leumerus Bungalows
149,Tutoia,BR,79.93,broken clouds,-2.7619,-42.2744,Pousada Guará's
160,Yendi,GH,76.06,few clouds,9.4427,-0.0099,Eyarro Lodge
163,Sur,OM,76.35,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
165,Tete,MZ,84.29,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
175,Poum,NC,78.4,overcast clouds,-20.2333,164.0167,Gîte kajeon
183,Sassandra,CI,76.46,clear sky,4.95,-6.0833,la terrasse
185,Sao Filipe,CV,80.67,clear sky,14.8961,-24.4956,Hotel Xaguate
187,Sarangani,PH,83.66,overcast clouds,5.4033,125.4636,Ballistic Islet
195,Hithadhoo,MV,81.19,heavy intensity rain,-0.6,73.0833,Scoop Guest House
198,Vanimo,PG,83.68,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
204,Kantabanji,IN,77.16,clear sky,20.4833,82.9167,Kamdhenu Borewell And Trading
209,Moree,AU,84.22,scattered clouds,-29.4667,149.85,Molika Springs Motel
211,Sal Rei,CV,75.76,clear sky,16.1833,-22.9167,Marine Club Beach Resort
214,Balikpapan,ID,85.19,few clouds,-1.2675,116.8289,ibis Balikpapan
215,Port Blair,IN,83.84,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
219,Banda Aceh,ID,82.9,overcast clouds,5.5577,95.3222,Sulthan Hotel International
220,Sorada,IN,79.54,clear sky,19.75,84.4333,PWD Guest House
229,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
236,Trincomalee,LK,81.01,overcast clouds,8.5711,81.2335,Welcombe Hotel
238,Alofi,NU,85.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
239,Taoudenni,ML,78.55,overcast clouds,22.6783,-3.9836,
240,Kavieng,PG,83.8,light rain,-2.5744,150.7967,Nusa Island Retreat
241,Andros Town,BS,75.16,clear sky,24.7,-77.7667,Hanks place
242,Cockburn Town,TC,81.1,clear sky,21.4612,-71.1419,Osprey Beach Hotel
248,Voh,NC,85.77,light rain,-20.9667,164.7,Le gîte du Koniambo
253,Bandarbeyla,SO,76.55,broken clouds,9.4942,50.8122,JABIR HOTEL
254,Acarau,BR,80.31,overcast clouds,-2.8856,-40.12,castelo pizzaria
257,Carutapera,BR,78.73,few clouds,-1.195,-46.02,Lidera
258,La Palma,US,77.7,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
259,Araouane,ML,75.76,overcast clouds,18.9048,-3.5265,
266,Geraldton,AU,76.12,clear sky,-28.7667,114.6,Broadwater Mariner Resort
268,Porto Velho,BR,77.05,scattered clouds,-8.7619,-63.9039,Hotel Central
273,Sulangan,PH,84.2,broken clouds,11.1373,123.7228,Maia's Beach Resort
278,Coahuayana,MX,80.08,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
281,Kuching,MY,84.42,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
286,Cururupu,BR,75.51,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
289,West Bay,KY,80.67,few clouds,19.3667,-81.4167,Calypso Cove
290,Nelson Bay,AU,75.76,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
291,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
295,Bengkulu,ID,82.27,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
299,Santa Maria,BR,76.3,clear sky,-29.6842,-53.8069,Hotel Morotin
317,Tabou,CI,78.26,clear sky,4.423,-7.3528,hotêl doufoulougou
320,Dogondoutchi,NE,77.99,clear sky,13.6393,4.0287,Hôtel Alheri Maison Alheri
328,Mana,GF,77.18,broken clouds,5.6592,-53.7767,LE SAMANA
329,Poya,NC,84.06,overcast clouds,-21.35,165.15,
331,Sibolga,ID,84.47,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
345,Karaton,ID,80.89,light rain,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
348,Samarai,PG,85.89,few clouds,-10.6167,150.6667,Nuli Sapi
359,Salta,AR,82.69,broken clouds,-24.7859,-65.4117,Hotel Alejandro I
364,Matara,LK,82.13,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
369,Kumaliskis,PH,79.66,overcast clouds,10.5487,123.2197,Maranatha Camp Site
371,Kabugao,PH,78.17,overcast clouds,18.0217,121.1842,ACLC-BOYS DORMITORY
373,Airai,TL,77.36,overcast clouds,-8.9266,125.4092,Juvinal Martin
374,Meulaboh,ID,78.64,overcast clouds,4.1363,96.1285,Kost Pria
377,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
379,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
383,Santa Vitoria,BR,76.33,overcast clouds,-18.8386,-50.1214,Center Hotel
385,Waingapu,ID,87.84,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
393,Kahului,US,79.86,broken clouds,20.8947,-156.47,Maui Seaside Hotel
402,Soyo,AO,78.06,overcast clouds,-6.1349,12.3689,Hotel Mpampa
407,Fare,PF,81.01,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
408,Bandar,ID,87.48,overcast clouds,2.05,99.75,
411,Sao Jose Da Coroa Grande,BR,77.99,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
416,Tuy Hoa,VN,75.09,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
422,Sai Buri,TH,82.11,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
423,Hervey Bay,AU,82.04,light rain,-25.2986,152.8535,Shelly Bay Resort
424,Touros,BR,79.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
425,Byron Bay,AU,78.91,scattered clouds,-28.65,153.6167,Backpackers Inn
430,Kailua,US,82.38,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
432,Wewak,PG,83.14,scattered clouds,-3.5534,143.6268,In Wewak Boutique Hotel
441,Arawa,PG,84.04,light rain,-6.2132,155.5367,Coastline Guest House
