City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Nioro,GM,13.35,-15.75,75.52,47,99,3.87,overcast clouds
1,Kapaa,US,22.0752,-159.319,82.38,75,90,1.99,overcast clouds
2,Puerto Ayora,EC,-0.7393,-90.3518,68.38,75,35,8.34,scattered clouds
3,Cape Town,ZA,-33.9258,18.4232,63.1,65,0,20.71,clear sky
4,Rikitea,PF,-23.1203,-134.9692,75.81,72,0,10.65,clear sky
5,Labuhan,ID,-6.8844,112.2051,83.17,70,99,4.74,light rain
6,Lebu,CL,-37.6167,-73.65,54.93,84,0,20.31,clear sky
7,Yellowknife,CA,62.456,-114.3525,-7.58,73,20,1.99,few clouds
8,Harlingen,US,26.1906,-97.6961,65.89,88,1,0.0,clear sky
9,Rio Grande,BR,-32.035,-52.0986,73.09,66,92,5.41,overcast clouds
10,Carnarvon,AU,-24.8667,113.6333,78.87,36,0,13.8,clear sky
11,Opuwo,NA,-18.0607,13.84,65.16,29,0,4.36,clear sky
12,Kodiak,US,57.79,-152.4072,18.91,49,1,11.5,clear sky
13,Hilo,US,19.7297,-155.09,84.27,96,90,0.0,moderate rain
14,Butaritari,KI,3.0707,172.7902,81.95,77,22,11.56,light rain
15,Katsuura,JP,35.1333,140.3,64.18,80,96,14.83,overcast clouds
16,Harqalah,TN,36.0303,10.509,60.66,66,20,4.61,few clouds
17,Dikson,RU,73.5069,80.5464,-11.54,94,100,17.74,overcast clouds
18,Ribeira Grande,PT,38.5167,-28.7,65.89,85,27,19.6,scattered clouds
19,Albany,US,42.6001,-73.9662,33.37,73,13,1.99,few clouds
20,Ostersund,SE,63.1792,14.6357,34.25,93,20,12.66,few clouds
21,Sangar,RU,63.9242,127.4739,-26.72,94,42,1.05,scattered clouds
22,Taizhou,CN,32.4933,119.9106,42.35,38,100,6.31,overcast clouds
23,Tasiilaq,GL,65.6145,-37.6368,26.76,60,94,9.15,overcast clouds
24,Jamestown,US,42.097,-79.2353,33.39,66,90,5.01,light snow
25,Katobu,ID,-4.9408,122.5276,89.13,58,10,1.48,clear sky
26,Port Alfred,ZA,-33.5906,26.891,65.52,84,100,22.44,light rain
27,Kon Tum,VN,14.35,108.0,75.24,72,55,7.7,broken clouds
